//source, destination, distance, colorcode
// --- RED LINE ---
Rithala, Rohini West, 1, red
Rohini West, Rohini East, 1, red
Rohini East, Pitampura, 1, red
Pitampura, Kohat Enclave, 1, red
Kohat Enclave, Netaji Subhash Place, 1, red
Netaji Subhash Place, Keshav Puram, 1, red
Keshav Puram, Kanhaiya Nagar, 1, red
Kanhaiya Nagar, Inderlok, 1, red
Inderlok, Shastri Nagar, 2, red
Shastri Nagar, Pratap Nagar, 2, red
Pratap Nagar, Pulbangash, 1, red
Pulbangash, Tis Hazari, 1, red
Tis Hazari, Kashmere Gate, 1, red
Kashmere Gate, Shastri Park, 2, red
Shastri Park, Seelampur, 2, red
Seelampur, Welcome, 1, red
Welcome, Shahdara, 1, red
Shahdara, Mansarovar Park, 1, red
Mansarovar Park, Jhilmil, 1, red
Jhilmil, Dilshad Garden, 1, red
Dilshad Garden, Shaheed Nagar, 1, red
Shaheed Nagar, Raj Bagh, 1, red
Raj Bagh, Major Mohit Sharma Rajendra Nagar, 1, red
Major Mohit Sharma Rajendra Nagar, Shyam Park, 1, red
Shyam Park, Mohan Nagar, 1, red
Mohan Nagar, Arthala, 1, red
Arthala, Shaheed Sthal, 1, red

// --- YELLOW LINE ---
Samaypur Badli, Rohini Sector 18 19, 1, yellow
Rohini Sector 18 19, Haiderpur Badli Mor, 1, yellow
Haiderpur Badli Mor, Jahangirpuri, 1, yellow
Jahangirpuri, Adarsh Nagar, 1, yellow
Adarsh Nagar, Azadpur, 1, yellow
Azadpur, Model Town, 1, yellow
Model Town, GTB Nagar, 1, yellow
GTB Nagar, Vishwavidyalaya, 1, yellow
Vishwavidyalaya, Vidhan Sabha, 1, yellow
Vidhan Sabha, Civil Lines, 1, yellow
Civil Lines, Chandni Chowk, 1, yellow
Chandni Chowk, Chawri Bazar, 1, yellow
Chawri Bazar, New Delhi, 1, yellow
New Delhi, Rajiv Chowk, 1, yellow
Rajiv Chowk, Patel Chowk, 1, yellow
Patel Chowk, Central Secretariat, 1, yellow
Central Secretariat, Udyog Bhawan, 1, yellow
Udyog Bhawan, Lok Kalyan Marg, 1, yellow
Lok Kalyan Marg, Jor Bagh, 1, yellow
Jor Bagh, Dilli Haat INA, 1, yellow
Dilli Haat INA, AIIMS, 1, yellow
AIIMS, Green Park, 1, yellow
Green Park, Hauz Khas, 1, yellow
Hauz Khas, Malviya Nagar, 1, yellow
Malviya Nagar, Saket, 1, yellow
Saket, Qutab Minar, 2, yellow
Qutab Minar, Chhatarpur, 1, yellow
Chhatarpur, Sultanpur, 2, yellow
Sultanpur, Ghitorni, 1, yellow
Ghitorni, Arjan Garh, 2, yellow
Arjan Garh, Guru Dronacharya, 2, yellow
Guru Dronacharya, Sikanderpur, 1, yellow
Sikanderpur, MG Road, 1, yellow
MG Road, IFFCO Chowk, 1, yellow
IFFCO Chowk, Millennium City Centre Gurugram, 1, yellow

